objectid,filename,youtubeid,title,creator,date,year,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo_011_23,GifCulturaDigital.gif,,Los Autorretratos,"Henri Rousseau, Johan Joya",1890,1890,Yo mismo: Retrato-Paisaje con Rousseau en diferentes estilos.,Diapositiva;Interpretación-Imágen;Arte,"Praga, República Checa",50.087978,14.4216399,Biblioteca General Alfonso Borrero Cabal S.J. servicios especiales,"P61 ROUSSEAU, HENRI 2-1 Autorretrato",Image;MovingImage,image/gif,N/A,"Digitalización: Joya Maldonado,Johan Brezhnev",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
demo_012_23,,,Tropical Forest with Monkeys,"Henri Rousseau, Federico García Gutiérrez",1910,1910,"Intervención en la obra ""Bosque Tropical con Monos"" de Henri Rousseau (1910).  La animación representa el deseo de autor por vivir en la selva, salirse de la agitada ciudad de París en el siglo XIX.",Diapositiva;Interpretación-Imágen;Arte,"Washington D.C., Estados Unidos",38.8912494,-77.0198341,Biblioteca General Alfonso Borrero Cabal S.J. servicios especiales,P61 ROUSSEAU 2-1 Jungla con monos y serpientes,Image;MovingImage,image/gif,N/A,"Digitalización: García Gutiérrez,Federico",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
demo_013_23,,,,,,,,,,,,,,,,,"Digitalización: Gomez Pineda,Santiago",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
demo_014_23,,,,,,,,,,,,,,,,,"Digitalización: Baquero Pena,Paula",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
demo_015_23,valeria.gif,,la invizibilización,"Gustave Courbet, ValeriaRodríguez",1855,1855,"Intervención en la obra ""El taller del artista"" de Gustave Courbert (1819-1877) animación que representa lo que el artista buscaba mostrar en sus obras,la desigualdad, la miseria en la que vivia el pueblo, de esta manera la cortina representa como a pesar del pueblo ser la obra de mano detrás de los lujos de lo ricos, eran invisibilizadosy explotados.",Diapositiva;Interpretación-Imágen;Arte,"Paris, Francia",4.6333952,74.0655104,Biblioteca General Alfonso Borrero Cabal,P61 Courbet Gustave 5-1,Image;MovingImage,image/gif,N/A,"Digitalización: Rodriguez Motta,Valeria",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
demo_016_23,Sol_solecito.gif,,sunrise,lichtenstein roy; maria fernanda hernandez,1965,1965,"En Sunrise, Lichtenstein representa un amanecer estilizado sobre una masa de agua. El sol se representa como un gran círculo amarillo con rayos radiantes. El agua está representada en azules y verdes, y el cielo es de un azul pálido. La pintura está dominada por los puntos Ben-Day, que crean una sensación de profundidad y textura. una animacion en donde se puede observar el movimiento del mar y los rayos del sol.",Diapositiva;Interpretación-Imágen;Arte,"Atenas, Grecia",37.969692,23.7428456,Biblioteca General Alfonso Borrero Cabal,P8I LICHTESTEIN 2-I ROY SUNRISE,Image;MovingImage,image/gif,N/A,"Digitalización: Hernández Ramírez,María Fernanda",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
demo_017_23,jugadores-de-rugby2.gif,,Jugadores de Rugby,"Henri Rousseau, Sofia Belen Criswell",1908,1908,"El equipo nacional frances de rugby que surgio en el 1908 ascenda de la tierra al lado de los jugadores de rugby de Rousseau. Mientras que los verdadero jugadores de rugby salen de la tierra, los jugadores de la obra tiran una pelota. ",Diapositiva;Interpretación-Imágen;Arte,"Nueva York, Estados Unidos",40.7829944,-73.9774032,Biblioteca General Alfonso Borrero Cabal,"P61 Rousseau, 2-1 Henri",Image;MovingImage,image/gif,N/A,"Digitalización: Criswell,Sofia Belen",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
,,,,,,,,,,,,,,,,,"Digitalización: Largo Buitrago,Paula Sofia",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
,,,,,,,,,,,,,,,,,"Digitalización: Restrepo Galán,Felipe",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
,,,,,,,,,,,,,,,,,"Digitalización: Dussan Manchola,Nicolas",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
,,,,,,,,,,,,,,,,,"Digitalización: Bermeo Molano,Julian Camilo",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
,,,,,,,,,,,,,,,,,"Digitalización: Orozco, Andrés",https://www.oas.org/dil/esp/codigo_civil_colombia.pdf
